junction_id,connection_id,issue,detail
972,0,connector_end_pose_mismatch,3.5
972,1,connector_end_pose_mismatch,3.5
972,3,connector_start_pose_mismatch,3.5
972,3,connector_end_pose_mismatch,3.5
972,4,connector_start_pose_mismatch,3.5
972,8,connector_start_pose_mismatch,3.5
974,3,connector_start_pose_mismatch,3.5
974,3,connector_end_pose_mismatch,3.5
975,2,connector_start_pose_mismatch,3.5
975,2,connector_end_pose_mismatch,3.5
975,5,connector_start_pose_mismatch,3.5
975,5,connector_end_pose_mismatch,3.5
975,8,connector_start_pose_mismatch,3.5
975,8,connector_end_pose_mismatch,3.5
976,2,connector_start_pose_mismatch,3.5
976,2,connector_end_pose_mismatch,3.5
976,5,connector_start_pose_mismatch,3.5
976,5,connector_end_pose_mismatch,3.5
977,2,connector_start_pose_mismatch,3.5
977,2,connector_end_pose_mismatch,3.5
980,2,connector_start_pose_mismatch,3.5
980,2,connector_end_pose_mismatch,3.5
980,5,connector_start_pose_mismatch,3.5
980,5,connector_end_pose_mismatch,3.5
980,8,connector_start_pose_mismatch,3.5
980,8,connector_end_pose_mismatch,3.5
981,2,connector_start_pose_mismatch,3.5
981,2,connector_end_pose_mismatch,3.5
981,5,connector_start_pose_mismatch,3.5
981,5,connector_end_pose_mismatch,3.5
981,8,connector_start_pose_mismatch,3.499999
981,8,connector_end_pose_mismatch,3.5
982,3,connector_start_pose_mismatch,3.5
982,3,connector_end_pose_mismatch,3.5
982,7,connector_start_pose_mismatch,3.5
982,7,connector_end_pose_mismatch,3.5
982,11,connector_start_pose_mismatch,3.5
982,11,connector_end_pose_mismatch,3.5
982,15,connector_start_pose_mismatch,3.5
982,15,connector_end_pose_mismatch,3.5
983,5,connector_start_pose_mismatch,3.500001
983,5,connector_end_pose_mismatch,3.5
983,8,connector_start_pose_mismatch,3.5
983,8,connector_end_pose_mismatch,3.500001
984,0,connector_start_pose_mismatch,3.5
984,0,connector_end_pose_mismatch,3.5
985,2,connector_start_pose_mismatch,3.5
985,2,connector_end_pose_mismatch,3.5
985,7,connector_start_pose_mismatch,3.500001
985,7,connector_end_pose_mismatch,3.5
96,1,connector_start_pose_mismatch,3.500001
986,4,connector_start_pose_mismatch,3.5
986,4,connector_end_pose_mismatch,3.5
986,7,connector_start_pose_mismatch,3.5
986,7,connector_end_pose_mismatch,3.5
987,2,connector_start_pose_mismatch,3.5
987,2,connector_end_pose_mismatch,3.5
987,7,connector_start_pose_mismatch,3.5
987,7,connector_end_pose_mismatch,3.5
988,3,connector_start_pose_mismatch,3.499999
988,3,connector_end_pose_mismatch,3.500001
988,7,connector_start_pose_mismatch,3.5
988,7,connector_end_pose_mismatch,3.5
988,11,connector_start_pose_mismatch,3.499999
988,11,connector_end_pose_mismatch,3.5
989,0,connector_start_pose_mismatch,3.5
989,0,connector_end_pose_mismatch,3.5
990,2,connector_start_pose_mismatch,3.5
990,2,connector_end_pose_mismatch,3.5
990,5,connector_start_pose_mismatch,3.499999
990,5,connector_end_pose_mismatch,3.5
990,8,connector_start_pose_mismatch,3.5
990,8,connector_end_pose_mismatch,3.5
991,9,connector_start_pose_mismatch,3.5
991,9,connector_end_pose_mismatch,3.5
991,13,connector_start_pose_mismatch,3.499999
991,13,connector_end_pose_mismatch,3.5
992,2,connector_start_pose_mismatch,3.500001
992,2,connector_end_pose_mismatch,3.5
992,5,connector_start_pose_mismatch,3.5
992,5,connector_end_pose_mismatch,3.5
993,7,connector_start_pose_mismatch,3.499999
993,7,connector_end_pose_mismatch,3.500001
993,11,connector_start_pose_mismatch,3.500001
993,11,connector_end_pose_mismatch,3.5
993,15,connector_start_pose_mismatch,3.5
993,15,connector_end_pose_mismatch,3.5
994,4,connector_start_pose_mismatch,3.5
994,4,connector_end_pose_mismatch,3.5
994,7,connector_start_pose_mismatch,3.500001
994,7,connector_end_pose_mismatch,3.499999
97,1,connector_start_pose_mismatch,3.5
97,1,connector_end_pose_mismatch,3.5
996,4,connector_start_pose_mismatch,3.499999
996,4,connector_end_pose_mismatch,3.500001
996,7,connector_start_pose_mismatch,3.5
996,7,connector_end_pose_mismatch,3.5
997,2,connector_start_pose_mismatch,3.5
997,2,connector_end_pose_mismatch,3.500001
997,5,connector_start_pose_mismatch,3.500001
997,5,connector_end_pose_mismatch,3.5
997,8,connector_start_pose_mismatch,3.5
997,8,connector_end_pose_mismatch,3.5
998,2,connector_start_pose_mismatch,3.5
998,2,connector_end_pose_mismatch,3.499999
998,7,connector_start_pose_mismatch,3.500001
998,7,connector_end_pose_mismatch,3.5
999,2,connector_start_pose_mismatch,3.5
999,2,connector_end_pose_mismatch,3.5
999,4,connector_end_pose_mismatch,3.5
999,6,connector_start_pose_mismatch,3.5
999,6,connector_end_pose_mismatch,3.5
1000,0,connector_start_pose_mismatch,3.500001
1000,3,connector_start_pose_mismatch,3.500001
1000,3,connector_end_pose_mismatch,3.5
1000,4,connector_start_pose_mismatch,3.5
1000,4,connector_end_pose_mismatch,3.5
1000,6,connector_start_pose_mismatch,3.5
1000,6,connector_end_pose_mismatch,3.5
1000,7,connector_start_pose_mismatch,3.5
1000,10,connector_start_pose_mismatch,3.5
1000,10,connector_end_pose_mismatch,3.5
1001,4,connector_start_pose_mismatch,3.5
1001,4,connector_end_pose_mismatch,3.5
1003,4,connector_start_pose_mismatch,3.5
1003,4,connector_end_pose_mismatch,3.499999
1003,7,connector_start_pose_mismatch,3.499999
1003,7,connector_end_pose_mismatch,3.5
1004,3,connector_start_pose_mismatch,3.5
1004,3,connector_end_pose_mismatch,3.5
1004,13,connector_start_pose_mismatch,3.5
1004,13,connector_end_pose_mismatch,3.5
1005,4,connector_start_pose_mismatch,3.5
1005,4,connector_end_pose_mismatch,3.5
1005,7,connector_start_pose_mismatch,3.5
1005,7,connector_end_pose_mismatch,3.5
1006,2,connector_start_pose_mismatch,3.5
1006,2,connector_end_pose_mismatch,3.5
