road_id,relation,elementType,elementId,source_contact,target_contact,xy_gap_m,hdg_gap_deg,z_gap_m,issue
42456,predecessor,junction,198,start,,,,,non_road_link
42456,successor,junction,197,end,,,,,non_road_link
42457,predecessor,junction,205,start,,,,,non_road_link
42457,successor,junction,198,end,,,,,non_road_link
42458,predecessor,junction,206,start,,,,,non_road_link
42458,successor,junction,205,end,,,,,non_road_link
42459,predecessor,junction,204,start,,,,,non_road_link
42459,successor,junction,206,end,,,,,non_road_link
42460,successor,junction,201,end,,,,,non_road_link
42461,predecessor,junction,207,start,,,,,non_road_link
42461,successor,junction,204,end,,,,,non_road_link
42462,successor,junction,207,end,,,,,non_road_link
42463,predecessor,junction,208,start,,,,,non_road_link
42463,successor,junction,207,end,,,,,non_road_link
42464,predecessor,junction,205,start,,,,,non_road_link
42464,successor,junction,208,end,,,,,non_road_link
42465,predecessor,junction,208,start,,,,,non_road_link
42465,successor,junction,206,end,,,,,non_road_link
42466,predecessor,junction,209,start,,,,,non_road_link
42466,successor,junction,45,end,,,,,non_road_link
42467,predecessor,junction,210,start,,,,,non_road_link
42467,successor,junction,211,end,,,,,non_road_link
42468,predecessor,junction,68,start,,,,,non_road_link
42468,successor,junction,70,end,,,,,non_road_link
42469,predecessor,junction,212,start,,,,,non_road_link
42469,successor,junction,213,end,,,,,non_road_link
42470,predecessor,junction,214,start,,,,,non_road_link
42470,successor,junction,215,end,,,,,non_road_link
42471,predecessor,junction,216,start,,,,,non_road_link
42472,predecessor,junction,217,start,,,,,non_road_link
42472,successor,junction,218,end,,,,,non_road_link
42473,predecessor,junction,219,start,,,,,non_road_link
42474,predecessor,junction,220,start,,,,,non_road_link
42474,successor,junction,221,end,,,,,non_road_link
42475,predecessor,junction,219,start,,,,,non_road_link
42475,successor,junction,221,end,,,,,non_road_link
42476,predecessor,junction,222,start,,,,,non_road_link
42476,successor,junction,219,end,,,,,non_road_link
42477,predecessor,junction,223,start,,,,,non_road_link
42477,successor,junction,222,end,,,,,non_road_link
42478,predecessor,junction,224,start,,,,,non_road_link
42478,successor,junction,223,end,,,,,non_road_link
42479,predecessor,junction,225,start,,,,,non_road_link
42479,successor,junction,226,end,,,,,non_road_link
42480,predecessor,junction,227,start,,,,,non_road_link
42480,successor,junction,113,end,,,,,non_road_link
42481,predecessor,junction,228,start,,,,,non_road_link
42481,successor,junction,229,end,,,,,non_road_link
42482,predecessor,junction,230,start,,,,,non_road_link
42482,successor,junction,231,end,,,,,non_road_link
42483,predecessor,junction,232,start,,,,,non_road_link
42483,successor,junction,233,end,,,,,non_road_link
42484,predecessor,junction,234,start,,,,,non_road_link
42484,successor,junction,235,end,,,,,non_road_link
42485,predecessor,junction,236,start,,,,,non_road_link
42485,successor,junction,237,end,,,,,non_road_link
42486,predecessor,junction,238,start,,,,,non_road_link
42486,successor,junction,1,end,,,,,non_road_link
42487,predecessor,junction,239,start,,,,,non_road_link
42487,successor,junction,240,end,,,,,non_road_link
42488,successor,junction,239,end,,,,,non_road_link
42489,predecessor,junction,240,start,,,,,non_road_link
42489,successor,junction,241,end,,,,,non_road_link
42490,predecessor,junction,242,start,,,,,non_road_link
42490,successor,junction,243,end,,,,,non_road_link
42491,predecessor,junction,243,start,,,,,non_road_link
42491,successor,junction,244,end,,,,,non_road_link
42492,predecessor,junction,245,start,,,,,non_road_link
42492,successor,junction,246,end,,,,,non_road_link
42493,predecessor,junction,247,start,,,,,non_road_link
42493,successor,junction,246,end,,,,,non_road_link
42494,predecessor,junction,248,start,,,,,non_road_link
42494,successor,junction,249,end,,,,,non_road_link
42495,predecessor,junction,250,start,,,,,non_road_link
42495,successor,junction,251,end,,,,,non_road_link
42496,predecessor,junction,252,start,,,,,non_road_link
42496,successor,junction,253,end,,,,,non_road_link
42497,predecessor,junction,254,start,,,,,non_road_link
42497,successor,junction,255,end,,,,,non_road_link
42498,predecessor,junction,256,start,,,,,non_road_link
42498,successor,junction,257,end,,,,,non_road_link
42499,predecessor,junction,258,start,,,,,non_road_link
42499,successor,junction,259,end,,,,,non_road_link
42500,predecessor,junction,260,start,,,,,non_road_link
42500,successor,junction,261,end,,,,,non_road_link
42501,predecessor,junction,262,start,,,,,non_road_link
42501,successor,junction,263,end,,,,,non_road_link
42502,predecessor,junction,264,start,,,,,non_road_link
42502,successor,junction,265,end,,,,,non_road_link
42503,predecessor,junction,262,start,,,,,non_road_link
42503,successor,junction,264,end,,,,,non_road_link
42504,predecessor,junction,266,start,,,,,non_road_link
42504,successor,junction,267,end,,,,,non_road_link
42505,predecessor,junction,268,start,,,,,non_road_link
42505,successor,junction,269,end,,,,,non_road_link
42506,predecessor,junction,270,start,,,,,non_road_link
42506,successor,junction,271,end,,,,,non_road_link
42507,predecessor,junction,272,start,,,,,non_road_link
42507,successor,junction,273,end,,,,,non_road_link
42508,predecessor,junction,274,start,,,,,non_road_link
42508,successor,junction,275,end,,,,,non_road_link
42509,predecessor,junction,276,start,,,,,non_road_link
42509,successor,junction,277,end,,,,,non_road_link
