source_road,target_road,distance_m,heading_diff,reason
46556,58623,26.08,89.37,distance_exceeded (26.1m > 15.0m); heading_incompatible (89.4° > 15.0°)
44205,69926,38.26,0.0,distance_exceeded (38.3m > 15.0m)
43999,60643,47.05,140.4,distance_exceeded (47.0m > 15.0m); heading_incompatible (140.4° > 15.0°)
39881,69712,27.88,88.39,distance_exceeded (27.9m > 15.0m); heading_incompatible (88.4° > 15.0°)
39869,49724,49.24,159.77,distance_exceeded (49.2m > 15.0m); heading_incompatible (159.8° > 15.0°)
48294,67042,32.66,0.0,distance_exceeded (32.7m > 15.0m)
40954,50855,22.68,0.0,distance_exceeded (22.7m > 15.0m)
45880,53676,15.18,0.0,distance_exceeded (15.2m > 15.0m)
49716,61186,0.2,118.41,heading_incompatible (118.4° > 15.0°)
45845,53255,13.8,42.76,heading_incompatible (42.8° > 15.0°)
48410,50547,2.91,90.31,heading_incompatible (90.3° > 15.0°)
45809,69631,24.95,28.39,distance_exceeded (24.9m > 15.0m); heading_incompatible (28.4° > 15.0°)
41849,59951,15.64,87.11,distance_exceeded (15.6m > 15.0m); heading_incompatible (87.1° > 15.0°)
46528,59576,18.77,0.0,distance_exceeded (18.8m > 15.0m)
44922,50112,10.0,89.88,heading_incompatible (89.9° > 15.0°)
48793,51318,0.95,108.78,heading_incompatible (108.8° > 15.0°)
41874,60097,29.7,4.35,distance_exceeded (29.7m > 15.0m)
40067,53569,14.46,62.33,heading_incompatible (62.3° > 15.0°)
40842,53056,2.45,99.93,heading_incompatible (99.9° > 15.0°)
40557,58762,40.91,111.63,distance_exceeded (40.9m > 15.0m); heading_incompatible (111.6° > 15.0°)
45369,51619,0.2,178.22,heading_incompatible (178.2° > 15.0°)
45918,53991,22.18,46.96,distance_exceeded (22.2m > 15.0m); heading_incompatible (47.0° > 15.0°)
46625,71091,23.33,3.92,distance_exceeded (23.3m > 15.0m)
41315,55756,46.93,0.0,distance_exceeded (46.9m > 15.0m)
42544,63634,0.2,126.72,heading_incompatible (126.7° > 15.0°)
49719,61259,16.07,0.0,distance_exceeded (16.1m > 15.0m)
47282,62634,1.71,59.19,heading_incompatible (59.2° > 15.0°)
42155,61885,44.45,0.0,distance_exceeded (44.5m > 15.0m)
41128,54195,19.11,92.22,distance_exceeded (19.1m > 15.0m); heading_incompatible (92.2° > 15.0°)
44185,56985,1.73,103.65,heading_incompatible (103.7° > 15.0°)
41451,55270,46.3,0.0,distance_exceeded (46.3m > 15.0m)
45018,67637,2.68,112.54,heading_incompatible (112.5° > 15.0°)
44033,54154,16.59,1.6,distance_exceeded (16.6m > 15.0m)
39886,69667,8.77,74.09,heading_incompatible (74.1° > 15.0°)
48444,62854,24.83,89.96,distance_exceeded (24.8m > 15.0m); heading_incompatible (90.0° > 15.0°)
47384,71897,12.47,63.08,heading_incompatible (63.1° > 15.0°)
43958,57318,0.2,30.59,heading_incompatible (30.6° > 15.0°)
42824,50880,32.44,93.84,distance_exceeded (32.4m > 15.0m); heading_incompatible (93.8° > 15.0°)
40777,65302,15.9,70.19,distance_exceeded (15.9m > 15.0m); heading_incompatible (70.2° > 15.0°)
42143,56146,0.2,105.94,heading_incompatible (105.9° > 15.0°)
44504,63664,1.73,65.33,heading_incompatible (65.3° > 15.0°)
47035,61788,14.19,121.92,heading_incompatible (121.9° > 15.0°)
45920,54004,49.1,169.93,distance_exceeded (49.1m > 15.0m); heading_incompatible (169.9° > 15.0°)
45165,72176,12.9,178.96,heading_incompatible (179.0° > 15.0°)
42737,53493,0.2,55.73,heading_incompatible (55.7° > 15.0°)
47309,68147,27.62,0.16,distance_exceeded (27.6m > 15.0m)
48332,67230,31.22,79.15,distance_exceeded (31.2m > 15.0m); heading_incompatible (79.1° > 15.0°)
47276,62606,43.47,0.0,distance_exceeded (43.5m > 15.0m)
45161,53738,46.47,44.81,distance_exceeded (46.5m > 15.0m); heading_incompatible (44.8° > 15.0°)
45574,50408,12.43,173.61,heading_incompatible (173.6° > 15.0°)
46329,56756,0.39,103.09,heading_incompatible (103.1° > 15.0°)
46344,55922,4.49,79.53,heading_incompatible (79.5° > 15.0°)
44702,50414,0.2,154.49,heading_incompatible (154.5° > 15.0°)
40370,57085,37.52,90.42,distance_exceeded (37.5m > 15.0m); heading_incompatible (90.4° > 15.0°)
41061,53823,29.65,148.41,distance_exceeded (29.6m > 15.0m); heading_incompatible (148.4° > 15.0°)
47455,58157,2.69,39.28,heading_incompatible (39.3° > 15.0°)
43648,56362,0.2,81.52,heading_incompatible (81.5° > 15.0°)
46462,57798,28.65,128.58,distance_exceeded (28.7m > 15.0m); heading_incompatible (128.6° > 15.0°)
48348,67314,48.01,92.75,distance_exceeded (48.0m > 15.0m); heading_incompatible (92.7° > 15.0°)
49046,68307,33.39,45.74,distance_exceeded (33.4m > 15.0m); heading_incompatible (45.7° > 15.0°)
40379,56655,32.57,0.0,distance_exceeded (32.6m > 15.0m)
43360,67588,11.0,99.58,heading_incompatible (99.6° > 15.0°)
44496,58419,6.95,22.47,heading_incompatible (22.5° > 15.0°)
49483,57155,27.9,0.0,distance_exceeded (27.9m > 15.0m)
44937,65876,2.64,148.07,heading_incompatible (148.1° > 15.0°)
45393,55787,43.75,56.36,distance_exceeded (43.8m > 15.0m); heading_incompatible (56.4° > 15.0°)
40470,53962,13.99,131.31,heading_incompatible (131.3° > 15.0°)
40394,55965,14.95,62.23,heading_incompatible (62.2° > 15.0°)
49307,50410,11.46,77.26,heading_incompatible (77.3° > 15.0°)
49558,50719,8.09,107.34,heading_incompatible (107.3° > 15.0°)
49433,51706,16.49,35.31,distance_exceeded (16.5m > 15.0m); heading_incompatible (35.3° > 15.0°)
42760,65011,38.1,0.0,distance_exceeded (38.1m > 15.0m)
44842,51426,18.03,77.44,distance_exceeded (18.0m > 15.0m); heading_incompatible (77.4° > 15.0°)
45183,53750,21.44,20.21,distance_exceeded (21.4m > 15.0m); heading_incompatible (20.2° > 15.0°)
42681,59959,0.2,84.57,heading_incompatible (84.6° > 15.0°)
40558,62665,47.54,109.17,distance_exceeded (47.5m > 15.0m); heading_incompatible (109.2° > 15.0°)
44576,71141,1.41,148.18,heading_incompatible (148.2° > 15.0°)
42474,72208,0.2,162.79,heading_incompatible (162.8° > 15.0°)
44247,63795,0.2,172.26,heading_incompatible (172.3° > 15.0°)
48745,67372,35.76,92.49,distance_exceeded (35.8m > 15.0m); heading_incompatible (92.5° > 15.0°)
47689,64641,33.42,0.0,distance_exceeded (33.4m > 15.0m)
42054,69354,0.2,107.93,heading_incompatible (107.9° > 15.0°)
40858,52974,11.67,37.09,heading_incompatible (37.1° > 15.0°)
46738,59926,26.97,105.39,distance_exceeded (27.0m > 15.0m); heading_incompatible (105.4° > 15.0°)
44873,67667,29.17,80.48,distance_exceeded (29.2m > 15.0m); heading_incompatible (80.5° > 15.0°)
47798,65184,24.06,82.05,distance_exceeded (24.1m > 15.0m); heading_incompatible (82.0° > 15.0°)
46313,57258,8.45,83.65,heading_incompatible (83.6° > 15.0°)
43096,69896,6.7,123.58,heading_incompatible (123.6° > 15.0°)
47070,61925,45.12,16.58,distance_exceeded (45.1m > 15.0m); heading_incompatible (16.6° > 15.0°)
49722,68579,29.93,128.77,distance_exceeded (29.9m > 15.0m); heading_incompatible (128.8° > 15.0°)
47191,62206,1.32,33.74,heading_incompatible (33.7° > 15.0°)
42485,63454,39.19,145.58,distance_exceeded (39.2m > 15.0m); heading_incompatible (145.6° > 15.0°)
44032,54979,25.57,155.8,distance_exceeded (25.6m > 15.0m); heading_incompatible (155.8° > 15.0°)
46900,60925,0.2,22.83,heading_incompatible (22.8° > 15.0°)
48792,62137,37.97,176.23,distance_exceeded (38.0m > 15.0m); heading_incompatible (176.2° > 15.0°)
47188,54416,13.89,84.89,heading_incompatible (84.9° > 15.0°)
47122,61198,35.02,0.0,distance_exceeded (35.0m > 15.0m)
49116,64815,5.11,78.11,heading_incompatible (78.1° > 15.0°)
45506,64480,32.42,0.0,distance_exceeded (32.4m > 15.0m)
47994,58929,16.81,26.76,distance_exceeded (16.8m > 15.0m); heading_incompatible (26.8° > 15.0°)
42879,51743,12.5,152.91,heading_incompatible (152.9° > 15.0°)
48782,59899,2.47,92.43,heading_incompatible (92.4° > 15.0°)
46965,61390,7.39,85.71,heading_incompatible (85.7° > 15.0°)
44341,69866,6.02,98.8,heading_incompatible (98.8° > 15.0°)
47066,61969,16.63,72.56,distance_exceeded (16.6m > 15.0m); heading_incompatible (72.6° > 15.0°)
45854,67860,16.02,140.15,distance_exceeded (16.0m > 15.0m); heading_incompatible (140.2° > 15.0°)
44640,68577,0.78,124.88,heading_incompatible (124.9° > 15.0°)
47343,60115,17.75,99.97,distance_exceeded (17.8m > 15.0m); heading_incompatible (100.0° > 15.0°)
42022,60587,30.1,147.43,distance_exceeded (30.1m > 15.0m); heading_incompatible (147.4° > 15.0°)
49075,51653,17.84,19.95,distance_exceeded (17.8m > 15.0m); heading_incompatible (20.0° > 15.0°)
46164,55637,25.14,9.01,distance_exceeded (25.1m > 15.0m)
49650,70978,5.61,66.26,heading_incompatible (66.3° > 15.0°)
49324,54659,42.06,6.34,distance_exceeded (42.1m > 15.0m)
41868,60010,28.0,0.0,distance_exceeded (28.0m > 15.0m)
44820,50543,0.2,35.69,heading_incompatible (35.7° > 15.0°)
45735,51874,13.62,133.17,heading_incompatible (133.2° > 15.0°)
41233,52741,3.83,82.99,heading_incompatible (83.0° > 15.0°)
45003,49910,25.66,0.0,distance_exceeded (25.7m > 15.0m)
44426,68473,5.95,174.21,heading_incompatible (174.2° > 15.0°)
41347,55932,2.55,87.66,heading_incompatible (87.7° > 15.0°)
48977,54532,35.63,93.79,distance_exceeded (35.6m > 15.0m); heading_incompatible (93.8° > 15.0°)
45163,53831,47.17,0.0,distance_exceeded (47.2m > 15.0m)
44850,63239,8.24,31.62,heading_incompatible (31.6° > 15.0°)
45029,63897,20.45,168.61,distance_exceeded (20.4m > 15.0m); heading_incompatible (168.6° > 15.0°)
47304,62770,32.18,79.12,distance_exceeded (32.2m > 15.0m); heading_incompatible (79.1° > 15.0°)
43555,69149,13.75,173.6,heading_incompatible (173.6° > 15.0°)
45502,63677,36.94,0.0,distance_exceeded (36.9m > 15.0m)
43561,50671,5.9,62.1,heading_incompatible (62.1° > 15.0°)
45543,56732,1.71,152.74,heading_incompatible (152.7° > 15.0°)
49638,62783,30.75,0.0,distance_exceeded (30.7m > 15.0m)
41916,60426,46.2,0.0,distance_exceeded (46.2m > 15.0m)
43971,51452,10.45,70.46,heading_incompatible (70.5° > 15.0°)
48614,67449,48.35,0.0,distance_exceeded (48.4m > 15.0m)
43947,53763,38.01,37.62,distance_exceeded (38.0m > 15.0m); heading_incompatible (37.6° > 15.0°)
49296,52630,7.11,119.16,heading_incompatible (119.2° > 15.0°)
44230,69571,31.23,7.91,distance_exceeded (31.2m > 15.0m)
42305,59418,31.65,79.9,distance_exceeded (31.6m > 15.0m); heading_incompatible (79.9° > 15.0°)
41859,55224,26.58,1.1,distance_exceeded (26.6m > 15.0m)
48264,66807,47.2,96.11,distance_exceeded (47.2m > 15.0m); heading_incompatible (96.1° > 15.0°)
49333,72431,7.32,116.87,heading_incompatible (116.9° > 15.0°)
42138,61791,6.22,158.24,heading_incompatible (158.2° > 15.0°)
47325,65604,35.64,0.0,distance_exceeded (35.6m > 15.0m)
43787,56231,13.94,108.03,heading_incompatible (108.0° > 15.0°)
41105,54112,34.27,154.98,distance_exceeded (34.3m > 15.0m); heading_incompatible (155.0° > 15.0°)
47771,65377,38.1,0.0,distance_exceeded (38.1m > 15.0m)
47851,56829,4.88,29.85,heading_incompatible (29.8° > 15.0°)
41041,53555,6.32,177.52,heading_incompatible (177.5° > 15.0°)
46016,52914,4.54,33.34,heading_incompatible (33.3° > 15.0°)
45928,54043,13.14,66.63,heading_incompatible (66.6° > 15.0°)
49529,55818,31.39,6.75,distance_exceeded (31.4m > 15.0m)
41476,64935,11.96,61.28,heading_incompatible (61.3° > 15.0°)
46667,68657,9.2,137.42,heading_incompatible (137.4° > 15.0°)
41990,60819,22.2,168.35,distance_exceeded (22.2m > 15.0m); heading_incompatible (168.3° > 15.0°)
41298,55657,0.93,97.41,heading_incompatible (97.4° > 15.0°)
43702,67985,8.31,104.51,heading_incompatible (104.5° > 15.0°)
47698,65648,16.76,35.16,distance_exceeded (16.8m > 15.0m); heading_incompatible (35.2° > 15.0°)
47173,69680,16.43,65.33,distance_exceeded (16.4m > 15.0m); heading_incompatible (65.3° > 15.0°)
48912,50324,17.84,70.18,distance_exceeded (17.8m > 15.0m); heading_incompatible (70.2° > 15.0°)
44771,49889,11.69,18.0,heading_incompatible (18.0° > 15.0°)
41473,57291,4.07,100.83,heading_incompatible (100.8° > 15.0°)
41615,58195,0.2,140.09,heading_incompatible (140.1° > 15.0°)
41351,56107,29.31,179.89,distance_exceeded (29.3m > 15.0m); heading_incompatible (179.9° > 15.0°)
45097,58896,24.28,170.31,distance_exceeded (24.3m > 15.0m); heading_incompatible (170.3° > 15.0°)
44945,62395,17.54,173.14,distance_exceeded (17.5m > 15.0m); heading_incompatible (173.1° > 15.0°)
43569,56137,4.26,140.75,heading_incompatible (140.7° > 15.0°)
43614,65296,0.2,59.74,heading_incompatible (59.7° > 15.0°)
43307,57378,6.68,29.68,heading_incompatible (29.7° > 15.0°)
