osm_id,disposition,disposition_rank,reason
816754722,INSERTED,INSERTED,matched road=49331 s=103.242 t=-7.4 dist=8.167
822603353,INSERTED,INSERTED,matched road=49126 s=30.939 t=-4.4 dist=9.552
822603362,INSERTED,INSERTED,matched road=69980 s=14.983 t=-3.0 dist=1.569
822603365,INSERTED,INSERTED,matched road=69986 s=17.703 t=-3.0 dist=4.053
823880352,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
832481040,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
832481041,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
833624970,DUPLICATE_MERGED,DUPLICATE_MERGED,"matched to 2 roads: ['49395', '49397']"
833624971,DUPLICATE_MERGED,DUPLICATE_MERGED,"matched to 2 roads: ['49574', '72485']"
833624972,INSERTED,INSERTED,matched road=72479 s=0.0 t=-4.4 dist=3.333
833624976,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
852873995,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
857631237,INSERTED,INSERTED,matched road=69387 s=21.813 t=-4.4 dist=5.269
865774603,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
865774606,INSERTED,INSERTED,matched road=49212 s=0.76 t=-4.4 dist=7.798
865774610,INSERTED,INSERTED,matched road=68726 s=5.361 t=-4.4 dist=8.545
882016636,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
885891572,INSERTED,INSERTED,matched road=44521 s=5.213 t=-7.4 dist=13.55
885891576,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
885891587,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
887476712,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
888409629,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
888409633,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
888409635,INSERTED,INSERTED,matched road=44675 s=59.75 t=-10.4 dist=9.816
888409636,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
891546830,INSERTED,INSERTED,matched road=49378 s=21.129 t=-4.4 dist=5.247
899618627,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
954049852,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1021661423,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1028458468,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1040556557,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1040640680,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1040640681,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1040640682,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1040640684,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1042215664,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1042215665,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1042219117,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1042219118,INSERTED,INSERTED,matched road=65295 s=0.0 t=-3.0 dist=0.34
1042219119,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1042219121,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1042219123,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1043366193,INSERTED,INSERTED,matched road=48986 s=128.152 t=-10.4 dist=0.267
1043366198,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1050386657,INSERTED,INSERTED,matched road=45439 s=6.121 t=-7.4 dist=11.587
1051861790,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1052297355,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1052297356,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1052297357,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1053732601,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1065435249,INSERTED,INSERTED,matched road=49379 s=19.036 t=-4.4 dist=0.848
1084686582,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1085423837,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1086054569,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1086054571,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1086054572,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1112444444,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1148941115,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1180627127,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1180627128,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182767734,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182767736,INSERTED,INSERTED,matched road=61451 s=0.917 t=-4.4 dist=2.622
1182767739,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182767741,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182938514,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1182938517,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1182938519,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1182938520,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182938521,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182938523,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182938525,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1182938528,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1183958165,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1183958167,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1183958168,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1183958169,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1183958178,INSERTED,INSERTED,matched road=69222 s=14.158 t=-3.0 dist=1.057
1183958179,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1183958180,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1189564732,INSERTED,INSERTED,matched road=49216 s=0.999 t=-4.4 dist=11.105
1189564734,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1189564736,INSERTED,INSERTED,matched road=49206 s=12.099 t=-4.4 dist=11.009
1189564740,INSERTED,INSERTED,matched road=68709 s=8.426 t=-4.4 dist=3.392
1189565562,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1189565564,INSERTED,INSERTED,matched road=44670 s=7.435 t=-7.4 dist=0.167
1189565566,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1189565570,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1193072819,INSERTED,INSERTED,matched road=50691 s=13.882 t=-4.4 dist=3.882
1193072820,INSERTED,INSERTED,matched road=50693 s=28.664 t=-4.4 dist=3.583
1210272943,INSERTED,INSERTED,matched road=44575 s=10.081 t=-4.4 dist=3.48
1210312503,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1228500055,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1231643350,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1231643352,INSERTED,INSERTED,matched road=65299 s=1.978 t=-3.0 dist=0.308
1231643354,INSERTED,INSERTED,matched road=65291 s=13.431 t=-3.0 dist=4.881
1231643358,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1231643361,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1251945014,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1251945016,INSERTED,INSERTED,matched road=44260 s=112.842 t=-4.4 dist=5.308
1251945018,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1251945020,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1251945025,DUPLICATE_MERGED,DUPLICATE_MERGED,"matched to 2 roads: ['43768', '45735']"
1251945026,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1268446123,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1268446125,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1272842061,INSERTED,INSERTED,matched road=44662 s=87.226 t=-13.4 dist=9.823
1272842063,INSERTED,INSERTED,matched road=69819 s=7.8 t=-6.0 dist=1.543
1272842066,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1288620300,INSERTED,INSERTED,matched road=49907 s=3.745 t=-4.4 dist=6.722
1291011970,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1302300634,INSERTED,INSERTED,matched road=49409 s=99.604 t=-7.4 dist=12.996
1302300635,INSERTED,INSERTED,matched road=48122 s=13.682 t=-10.4 dist=0.853
1302300638,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304137978,INSERTED,INSERTED,matched road=65277 s=13.61 t=-3.0 dist=1.252
1304137980,INSERTED,INSERTED,matched road=60943 s=0.0 t=-3.0 dist=1.968
1304137981,INSERTED,INSERTED,matched road=60931 s=3.548 t=-3.0 dist=2.537
1304137983,INSERTED,INSERTED,matched road=40448 s=2.658 t=-4.4 dist=4.661
1304137985,INSERTED,INSERTED,matched road=60946 s=2.25 t=-3.0 dist=1.608
1304137986,INSERTED,INSERTED,matched road=61007 s=5.219 t=-3.0 dist=1.36
1304137987,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304137990,INSERTED,INSERTED,matched road=42000 s=41.961 t=-4.4 dist=4.011
1304137991,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304137992,INSERTED,INSERTED,matched road=60993 s=4.33 t=-3.0 dist=0.202
1304137993,INSERTED,INSERTED,matched road=60989 s=13.32 t=-3.0 dist=1.964
1304137994,INSERTED,INSERTED,matched road=60981 s=3.273 t=-3.0 dist=1.47
1304137995,INSERTED,INSERTED,matched road=60985 s=13.019 t=-3.0 dist=0.427
1304137996,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304137997,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304138000,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304138002,INSERTED,INSERTED,matched road=42010 s=163.775 t=-4.4 dist=7.006
1304138004,INSERTED,INSERTED,matched road=46875 s=61.895 t=-4.4 dist=5.894
1304138005,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1304138006,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1310466524,INSERTED,INSERTED,matched road=48282 s=578.013 t=-4.4 dist=6.445
1310466528,INSERTED,INSERTED,matched road=48282 s=498.941 t=-4.4 dist=4.013
1310466530,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1310466532,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1310466534,OUTSIDE_MAP_SCOPE,OUTSIDE_MAP_SCOPE,no road within match threshold
1310466537,INSERTED,INSERTED,matched road=40083 s=468.786 t=-4.4 dist=6.112
1311357354,INSERTED,INSERTED,matched road=46967 s=76.508 t=-4.4 dist=8.518
1311357356,INSERTED,INSERTED,matched road=61403 s=16.478 t=-3.0 dist=1.315
1311357357,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1311357358,INSERTED,INSERTED,matched road=61411 s=3.903 t=-3.0 dist=1.118
1311357359,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1311357360,INSERTED,INSERTED,matched road=71740 s=17.703 t=-3.0 dist=1.223
1384129440,AMBIGUOUS_MATCH_REJECTED,AMBIGUOUS_MATCH_REJECTED,matcher marked ambiguous
1418867010,INSERTED,INSERTED,matched road=55286 s=0.0 t=-3.0 dist=2.818
